2024-02-06 15:48:29 status half-installed binutils:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:29 status unpacked binutils:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:29 install libgomp1:amd64 <none> 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 status half-installed libgomp1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 status unpacked libgomp1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 install libitm1:amd64 <none> 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 status half-installed libitm1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 status unpacked libitm1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 install libatomic1:amd64 <none> 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 status half-installed libatomic1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 status unpacked libatomic1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 install libasan5:amd64 <none> 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:29 status half-installed libasan5:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:29 status unpacked libasan5:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:29 install liblsan0:amd64 <none> 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 status half-installed liblsan0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 status unpacked liblsan0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 install libtsan0:amd64 <none> 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:29 status half-installed libtsan0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:30 status unpacked libtsan0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:30 install libubsan1:amd64 <none> 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:30 status half-installed libubsan1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:30 status unpacked libubsan1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:30 install libquadmath0:amd64 <none> 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:30 status half-installed libquadmath0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:30 status unpacked libquadmath0:amd64 10.5.0-1ubuntu1~20.04
